effective_canonical_key,mountain_name,aliases,provinces,altitude_m,existing_latitude,existing_longitude,query_names,unresolved_reasons
datudingzi-shan,大秃顶子山,,黑龙江省,1690,44.45,128.2,大秃顶子山,source_elevation_missing
dawagengza,达瓦更扎,,四川省,3900,30.95,102.5,达瓦更扎,no_exact_peak_candidate_found
dawei-shan,大围山,,湖南省,1607.9,28.4,114.1,大围山,province_mismatch;source_elevation_missing
diaoluo-shan,吊罗山,,海南省,1499,18.85,109.9,吊罗山,coordinate_precision_below_4dp;source_elevation_missing
dinghu-shan,鼎湖山,,广东省,1000.3,23.15,112.55,鼎湖山,coordinate_precision_below_4dp;source_elevation_missing
dongbai-shan,东白山,,浙江省,1194.6,29.45,120.4,东白山,source_elevation_missing
donghu-moshan,东湖磨山,,湖北省,118.3,30.55,114.4,东湖磨山,no_exact_peak_candidate_found
dongling-shan,东灵山,,北京市,2303,39.9482,115.4713,东灵山,province_mismatch
duku-gonglu-route,独库公路沿线山峰,,新疆维吾尔自治区,3500,42.5,84.5,独库公路沿线山峰,route_corridor_has_no_single_summit
duri-feng,都日峰,,四川省,5437,32,103.8,都日峰,coordinate_precision_below_4dp;province_mismatch;source_elevation_missing
erlong-shan,二龙山,,黑龙江省,308,45.75,127.1,二龙山,candidate_country_inconsistent;province_mismatch
fenghuang-shan-heilongjiang,凤凰山,,黑龙江省,1696.2,44.1,127.9,凤凰山,candidate_country_inconsistent;province_mismatch
fenghuang-shan-liaoning,凤凰山,,辽宁省,836.4,40.45,124.1,凤凰山,province_mismatch
gang-shan-liaoning,岗山,,辽宁省,1373.1,41.45,125.4,岗山,province_mismatch;source_elevation_mismatch
gangpengqing-feng,岗彭庆峰,,西藏自治区,7299,28.5,85.6,岗彭庆峰,coordinate_precision_below_4dp
gangrenboqi-cluster,冈仁波齐周边山峰,冈仁波齐,西藏自治区,4000,31.05,81.3,冈仁波齐周边山峰;冈仁波齐,route_corridor_has_no_single_summit
gangshka-xuefeng,岗什卡雪峰,,青海省,5254.5,37.7,101.5,岗什卡雪峰,no_exact_peak_candidate_found
gaoligongshan-gawagapu-feng,高黎贡山嘎娃嘎普峰,,云南省,5128,28,98.6,高黎贡山嘎娃嘎普峰,no_exact_peak_candidate_found
gasherbrum-1-feng,加舒尔布鲁木I峰,,新疆维吾尔自治区,8080,,,加舒尔布鲁木I峰,coordinate_precision_below_4dp
gasherbrum-2-feng,加舒尔布鲁木II峰,,新疆维吾尔自治区,8035,,,加舒尔布鲁木II峰,coordinate_precision_below_4dp;province_mismatch
geladandong-feng,各拉丹冬峰,,青海省,6621,33.5,91.1,各拉丹冬峰,province_mismatch
gele-shan,歌乐山,,重庆市,693,29.55,106.4,歌乐山,source_elevation_missing
genie-shan,格聂神山主峰,,四川省,6204,29.8,99.8,格聂神山主峰,no_exact_peak_candidate_found
gongga-baihaizi-shan,白海子山主峰,,四川省,5924,29.95,102,白海子山主峰,no_exact_peak_candidate_found
gongga-jiazi-feng,贡嘎嘉子峰,,四川省,6540,29.75,101.85,贡嘎嘉子峰,no_exact_peak_candidate_found
gongga-leduomanyin-feng,贡嘎勒多曼因峰,,四川省,6112,29.75,101.85,贡嘎勒多曼因峰,no_exact_peak_candidate_found
gongga-riwuqie-feng,贡嘎日乌且峰,,四川省,6376,29.75,101.85,贡嘎日乌且峰,no_exact_peak_candidate_found
gongga-tianhaizi-shan,田海子山主峰,,四川省,6070,29.95,102,田海子山主峰,no_exact_peak_candidate_found
gongga-xiaogongga-feng,贡嘎小贡嘎峰,,四川省,5928,29.6,101.8,贡嘎小贡嘎峰,no_exact_peak_candidate_found
gu-shan-fujian,鼓山,,福建省,870.3,26.05,119.4,鼓山,province_mismatch
gua-shan,卦山,,山西省,1142,37.5,112.1,卦山,province_mismatch;source_elevation_missing
guanmen-shan,关门山,,辽宁省,1234,41.1,123.9,关门山,province_mismatch;source_elevation_mismatch
guanzhai-shan,冠豸山,,福建省,661.1,25.65,116.75,冠豸山,coordinate_precision_below_4dp;source_elevation_missing
gui-feng,龟峰,,江西省,486.3,28.4,117.45,龟峰,province_mismatch;source_elevation_missing
haba-xueshan,哈巴雪山主峰,,云南省,5396,27.6,100.1,哈巴雪山主峰,no_exact_peak_candidate_found
hailaer-xishan,海拉尔西山国家森林公园主峰,,内蒙古自治区,664.2,49.2,119.7,海拉尔西山国家森林公园主峰,no_exact_peak_candidate_found
haituo-shan,海坨山,,北京市,2241,40.5428,115.8217,海坨山,province_mismatch;source_elevation_mismatch
hantengeli-feng,汗腾格里峰,,新疆维吾尔自治区,6995,,,汗腾格里峰,province_mismatch
heban-shan,鹤伴山,,山东省,728.8,36.8,117.6,鹤伴山,no_exact_peak_candidate_found
heishan-gu,黑山谷,,重庆市,1900,28.95,106.95,黑山谷,no_exact_peak_candidate_found
helan-shan,贺兰山,敖包疙瘩,宁夏回族自治区,3556,38.5,105.9,贺兰山;敖包疙瘩,province_mismatch
hengshan-shanxi,恒山,恒山天峰岭,山西省,2016.1,39.6833,113.7,天峰岭;恒山天峰岭;恒山,no_exact_peak_candidate_found
huangbai-shan,黄柏山主峰,,河南省,1352.6,31.45,115.3,黄柏山主峰,no_exact_peak_candidate_found
huanggang-liang,黄岗梁,,内蒙古自治区,2029,43.5,117.5,黄岗梁,coordinate_precision_below_4dp;source_elevation_missing
huangshan-xihai-route,黄山西海大峡谷环线,,安徽省,1300,30.15,118.1333,黄山西海大峡谷环线,route_corridor_has_no_single_summit
huhe-bashige,呼和巴什格,,内蒙古自治区,2364,40.95,106.4,呼和巴什格,coordinate_precision_below_4dp;source_elevation_missing
huihang-gudao-route,徽杭古道沿线山峰,,浙江省,1000,30.2,118.8,徽杭古道沿线山峰,route_corridor_has_no_single_summit
huitengxile-huanghuagou,辉腾锡勒黄花沟主峰,,内蒙古自治区,2100,41.15,112.6,辉腾锡勒黄花沟主峰,no_exact_peak_candidate_found
huoyan-shan,火焰山,,新疆维吾尔自治区,831.7,42.9,89.5,火焰山,province_mismatch
hutiaoxia-gaolu-route,虎跳峡高路徒步线,,云南省,1800,27.2,100,虎跳峡高路徒步线,route_corridor_has_no_single_summit
jiaer-mengcuo,甲尔猛措,,四川省,4000,31.75,103.2,甲尔猛措,no_exact_peak_candidate_found
jiangsanglamu-feng,姜桑拉姆峰,,西藏自治区,6325,28.85,90.25,姜桑拉姆峰,no_exact_peak_candidate_found
jianmen-guan,剑门关,,四川省,1200,32.2,105.5,剑门关,coordinate_precision_below_4dp;source_elevation_missing
jiaozi-xueshan,轿子雪山,,云南省,4223,26.1,102.8,轿子雪山,no_exact_peak_candidate_found
jietongsusong-feng,解同速松峰,,西藏自治区,6240,28.4,90.6,解同速松峰,no_exact_peak_candidate_found
jingting-shan,敬亭山,,安徽省,324.1,30.95,118.75,敬亭山,source_elevation_missing
jinlong-shan,金龙山,,黑龙江省,826,45.4,127.3,金龙山,province_mismatch
jinyun-shan,缙云山,,重庆市,951,29.85,106.35,缙云山,no_exact_peak_candidate_found
jiugongshan,九宫山,九宫山老鸦尖,湖北省,1656.7,29.4,114.7,九宫山老鸦尖;老鸦尖;九宫山,province_mismatch
jiuwan-shan,九万山,,广西壮族自治区,1693,25.35,108.7,九万山,no_exact_peak_candidate_found
kongtong-shan,崆峒山,,甘肃省,2123.3,35.55,106.65,崆峒山,source_elevation_missing
kulagangri-feng,库拉岗日峰,,西藏自治区,7538,28.25,90.6,库拉岗日峰,no_exact_peak_candidate_found
lafa-shan,拉法山,,吉林省,886.2,43.7333,127.35,拉法山,source_elevation_missing
lang-shan-hunan,崀山,,湖南省,818,26.4,110.8,崀山,coordinate_precision_below_4dp;source_elevation_missing
langya-shan-anhui,琅琊山,,安徽省,317,32.3,118.25,琅琊山,source_elevation_missing
langya-shan-hebei,狼牙山,,河北省,1105,39.15,115.1833,狼牙山,no_exact_peak_candidate_found
laojunshan-henan,老君山,老君山马鬃岭,河南省,2217,33.75,111.65,老君山马鬃岭;马鬃岭;老君山,province_mismatch
laoshan,崂山,崂山巨峰,山东省,1132.7,36.1333,120.6667,崂山巨峰;巨峰;崂山,source_elevation_missing
laotudingzi,老秃顶子,,辽宁省,1325,41.25,124.9,老秃顶子,province_mismatch
laoye-ling,老爷岭,,吉林省,1284.7,43.75,127.3,老爷岭,source_elevation_missing
liang-shan-shandong,水泊梁山,,山东省,197.9,35.8,116.1,水泊梁山,no_exact_peak_candidate_found
ling-shan-jiangsu,灵山,,江苏省,230.7,31.45,120.1,灵山,province_mismatch
ling-shan-jiangxi,灵山,,江西省,1496,28.55,117.7,灵山,source_elevation_mismatch
lionggongdao-zhufeng,刘公岛主峰,,山东省,153.5,37.5,122.1,刘公岛主峰,no_exact_peak_candidate_found
lishan-shunwang-ping,历山舜王坪,,山西省,2358,35.35,111.9,历山舜王坪,no_exact_peak_candidate_found
liuding-shan,六鼎山,,吉林省,803.6,43.4,128.3,六鼎山,source_elevation_missing
longhu-shan,龙虎山,,江西省,247.4,28.05,116.95,龙虎山,province_mismatch
loushan-guan,娄山关,,贵州省,1576,27.95,106.8,娄山关,no_exact_peak_candidate_found
lue-shan,芦芽山,管涔山主峰,山西省,2739,38.8333,111.9333,芦芽山;管涔山主峰,no_exact_peak_candidate_found
lushan-shandong,鲁山主峰,,山东省,1108.3,36.35,117.8,鲁山主峰,province_mismatch;source_elevation_missing
luzi-feng,鲁孜峰,,西藏自治区,6154,30.3,90.5,鲁孜峰,no_exact_peak_candidate_found
maiji-shan,麦积山,,甘肃省,1742,34.35,106,麦积山,source_elevation_missing
makalu-feng,马卡鲁峰,,西藏自治区,8463,27.9,87.1,马卡鲁峰,coordinate_precision_below_4dp;province_mismatch
mang-shan-hunan,莽山,,湖南省,1902.3,24.95,112.95,莽山,no_exact_peak_candidate_found
mangdang-shan,芒砀山主峰,,河南省,156.8,34.4,116.5,芒砀山主峰,coordinate_precision_below_4dp;source_elevation_missing
manhan-shan,蛮汉山,,内蒙古自治区,2304.5,40.55,112.4,蛮汉山,no_exact_peak_candidate_found
mao-shan,茅山,,江苏省,372.5,31.75,119.3,茅山,province_mismatch
maya-xueshan,马牙雪山,,甘肃省,4447,37.2,102.8,马牙雪山,no_exact_peak_candidate_found
mengdagangri-feng,蒙达岗日峰,,西藏自治区,6426,28.45,90.65,蒙达岗日峰,no_exact_peak_candidate_found
mian-shan,绵山,,山西省,2566.6,36.85,112,绵山,source_elevation_missing
mingsha-shan,鸣沙山,,甘肃省,1715,40.05,94.7,鸣沙山,source_elevation_mismatch
mingyue-shan,明月山,,江西省,1735.6,27.6,114.35,明月山,province_mismatch;source_elevation_mismatch
mogan-shan,莫干山,,浙江省,758,30.6,119.85,莫干山,province_mismatch;source_elevation_mismatch
namunani-feng,纳木那尼峰,,西藏自治区,7694,30.45,81.35,纳木那尼峰,coordinate_precision_below_4dp
nangong-shan,南宫山,,陕西省,2267.4,32.15,108.95,南宫山,no_exact_peak_candidate_found
nanhuang-gudao-route,南黄古道沿线山峰,,浙江省,800,29.05,120.3,南黄古道沿线山峰,route_corridor_has_no_single_summit
nankun-shan,南昆山,,广东省,1228,23.6,113.8,南昆山,no_exact_peak_candidate_found
nanyandang-shan,南雁荡山,,浙江省,1124,27.65,120.15,南雁荡山,coordinate_precision_below_4dp;source_elevation_missing
nianbaoyuze,年保玉则,,青海省,5369,,,年保玉则,no_exact_peak_candidate_found
pan-shan,盘山,,天津市,856.8,40.0833,117.3,盘山,province_mismatch;source_elevation_mismatch
putuoshan-foding-shan,普陀山佛顶山,,浙江省,291.3,30,122.35,普陀山佛顶山,no_exact_peak_candidate_found
qianfo-shan-sichuan,千佛山,,四川省,3033,31.7,104.2,千佛山,province_mismatch;source_elevation_mismatch
qianling-shan,黔灵山,,贵州省,1396,26.6,106.7,黔灵山,coordinate_precision_below_4dp;source_elevation_missing
qilianshan-tuanjie-feng,祁连山团结峰,,甘肃省,5808,38.5,97.7,祁连山团结峰,no_exact_peak_candidate_found
qingchengshan-laojun-ge,青城山老君阁,,四川省,1260,30.9,103.5,青城山老君阁,no_exact_peak_candidate_found
qinghaihu-nanshan,青海湖南山,,青海省,3500,36.6,100.5,青海湖南山,no_exact_peak_candidate_found
qingyun-shan-fujian,青云山,,福建省,1130,25.85,118.95,青云山,province_mismatch
qiongmugangri-feng,穷母岗日峰,,西藏自治区,7048,29.95,90.15,穷母岗日峰,no_exact_peak_candidate_found
qiyue-shan,齐岳山,,湖北省,1911.5,30.45,108.7,齐岳山,no_exact_peak_candidate_found
qiyun-shan-jiangxi,齐云山,,江西省,2061.3,25.75,113.95,齐云山,province_mismatch
qizi-feng,启孜峰,,西藏自治区,6206,30.3,90.5,启孜峰,province_mismatch;source_elevation_missing
queer-shan,雀儿山主峰,,四川省,6168,31.95,99.15,雀儿山主峰,source_elevation_missing
sanao-aotaiji,三奥雪山奥太基,,四川省,5286,32,103,三奥雪山奥太基,no_exact_peak_candidate_found
sanao-aotaimei,三奥雪山奥太美,,四川省,5257,32,103,三奥雪山奥太美,no_exact_peak_candidate_found
sanao-aotaina,三奥雪山奥太娜,,四川省,5210,32,103,三奥雪山奥太娜,no_exact_peak_candidate_found
sanbai-shan,三百山,,江西省,1169,25.3,115.3,三百山,candidate_country_inconsistent;province_mismatch;source_elevation_mismatch
sejila-shan,色季拉山,,西藏自治区,4728,29.55,94.4,色季拉山,no_exact_peak_candidate_found
shao-shan,韶山,,湖南省,518.9,27.9,112.5,韶山,province_mismatch;source_elevation_missing
shennongjia-laojun-shan,神农架老君山,,湖北省,2936,31.55,110.5,神农架老君山,no_exact_peak_candidate_found
shennongshan,神农山,神农山紫金顶,河南省,1028,35.25,112.9,神农山紫金顶;紫金顶;神农山,no_exact_peak_candidate_found
shenxian-ju,神仙居,,浙江省,1271,28.7,120.55,神仙居,no_exact_peak_candidate_found
shigao-shan,石膏山,,山西省,2532,36.7,112.15,石膏山,no_exact_peak_candidate_found
shishapangma-lenggang-feng,冷岗峰,,西藏自治区,6225,28.5,85.7,冷岗峰,no_exact_peak_candidate_found
shiwan-dashan,十万大山,,广西壮族自治区,1462,21.85,107.9,十万大山,no_exact_peak_candidate_found
shuangta-shan,双塔山,,河北省,452,40.9667,117.8333,双塔山,province_mismatch;source_elevation_mismatch
shunan-zhuhai,蜀南竹海,,四川省,1000,28.45,104.9,蜀南竹海,no_exact_peak_candidate_found
siguniang-dafeng,四姑娘山大峰,,四川省,5025,31.1,102.9,四姑娘山大峰;大峰,candidate_country_inconsistent;province_mismatch;source_elevation_mismatch
siguniang-erfeng,四姑娘山二峰,,四川省,5276,31.1,102.9,二峰;四姑娘山二峰,province_mismatch;source_elevation_missing
siguniang-sanfeng,四姑娘山三峰,,四川省,5355,31.1,102.9,三峰;四姑娘山三峰,province_mismatch;source_elevation_mismatch
simian-shan,四面山,,重庆市,1709.4,28.6,106.4,四面山,province_mismatch
siming-shan,四明山,,浙江省,1018,29.75,121.1,四明山,source_elevation_missing
siren-tong,四人同,,四川省,3510,29.75,102.3,四人同,source_elevation_missing
sumu-shan,苏木山,,内蒙古自治区,2334.7,40.75,113.9,苏木山,no_exact_peak_candidate_found
tanglaangqu-feng,唐拉昂曲峰,,西藏自治区,6330,30.2,90.6,唐拉昂曲峰,no_exact_peak_candidate_found
tianhua-shan,天华山,,辽宁省,1100,40.8,124.7,天华山,province_mismatch;source_elevation_mismatch
tianjieshan,天界山,天界山老爷顶,河南省,1570,35.65,113.65,天界山老爷顶;老爷顶;天界山,no_exact_peak_candidate_found
tianma-shan-shanghai,天马山,,上海市,98.2,31.05,121.15,天马山,no_exact_peak_candidate_found
tianmu-shan,天目山,,浙江省,1506,30.35,119.45,天目山,source_elevation_missing
tianmushan-qijian-route,天目山七尖穿越线,,浙江省,1500,30.35,119.45,天目山七尖穿越线,route_corridor_has_no_single_summit
tianping-shan,天平山,,江苏省,201.6,31.3,120.5,天平山,province_mismatch;source_elevation_missing
tiantaishan-huading-shan,天台山华顶山,,浙江省,1098,29.25,121.05,天台山华顶山,no_exact_peak_candidate_found
tiantang-ding,天堂顶,,广东省,1210,23.65,113.85,天堂顶,province_mismatch;source_elevation_missing
tiantang-zhai,天堂寨,,安徽省;湖北省,1729.13,31.2,115.75,天堂寨,coordinate_precision_below_4dp;source_elevation_missing
tianzhushan-anhui,天柱山,天柱山天柱峰,安徽省,1489.8,30.7333,116.45,天柱山天柱峰;天柱峰;天柱山,no_exact_peak_candidate_found
tonggong-jian,童公尖,,浙江省,1558,30.2,119.05,童公尖,source_elevation_missing
tuo-liang,驼梁,,河北省,2281,38.7333,113.8333,驼梁,no_exact_peak_candidate_found
tuomuer-feng,托木尔峰,,新疆维吾尔自治区,7443,,,托木尔峰,source_elevation_missing
wanfo-shan-anhui,万佛山,,安徽省,1539,31,116.6,万佛山,no_exact_peak_candidate_found
wangmang-ling,王莽岭,,山西省,1732,35.6833,113.6,王莽岭,no_exact_peak_candidate_found
wangmangling-xiyaigou-route,太行山王莽岭-锡崖沟环线,,山西省,1700,35.65,113.6333,太行山王莽岭-锡崖沟环线,route_corridor_has_no_single_summit
wangwushan,王屋山,王屋山天坛峰,河南省,1715.7,35.15,112.2,天坛峰;王屋山天坛峰;王屋山,coordinate_precision_below_4dp;province_mismatch;source_elevation_missing
wangxiang-yan,太行大峡谷王相岩,,河南省,1600,36.05,113.7,太行大峡谷王相岩,no_exact_peak_candidate_found
wanxian-shan,万仙山主峰,,河南省,1672,35.7,113.6,万仙山主峰,no_exact_peak_candidate_found
wawu-shan,瓦屋山,,四川省,2830,29.65,103,瓦屋山,no_exact_peak_candidate_found
weizhou-volcanic-landform-route,涠洲岛火山地貌游览线,,广西壮族自治区,,21.05,109.1,涠洲岛火山地貌游览线,route_corridor_has_no_single_summit
wudangshan,武当山,武当山天柱峰,湖北省,1612.1,32.4,111,天柱峰;武当山天柱峰;武当山,source_elevation_missing
wugongshan-guangdong,武功山广东段,,广东省,1500,24.9,113.95,武功山广东段,no_exact_peak_candidate_found
wugongshan-jiangxi,武功山,武功山金顶,江西省,1918.3,27.45,114.1,武功山金顶;金顶;武功山,coordinate_precision_below_4dp;province_mismatch;source_elevation_missing
wuliang-shan,无量山,,云南省,3376,24.7,100.6,无量山,no_exact_peak_candidate_found
wuling-shan-chongqing,武陵山,,重庆市,1980,29.65,107.5,武陵山,candidate_country_inconsistent;province_mismatch;source_elevation_mismatch
wumeng-shan,乌蒙山,,贵州省,2857,27,104.5,乌蒙山,coordinate_precision_below_4dp;source_elevation_missing
wutaishan,五台山,五台山北台叶斗峰,山西省,3061.1,39.0667,113.55,五台山北台叶斗峰;北台叶斗峰;五台山,coordinate_precision_below_4dp;province_mismatch;source_elevation_missing
wuyue-zhai,五岳寨,,河北省,1945.6,38.7833,113.8667,五岳寨,no_exact_peak_candidate_found
xi-shan-yunnan,西山,,云南省,2507.5,24.95,102.65,西山,province_mismatch
xiang-shan,香山,,北京市,557,39.9939,116.2056,香山,province_mismatch;source_elevation_mismatch
xiangbi-shan,象鼻山,,广西壮族自治区,200,25.2833,110.3,象鼻山,candidate_country_inconsistent;province_mismatch
xiangtang-shan,响堂山,,河北省,891,36.45,114.25,响堂山,no_exact_peak_candidate_found
xiannv-shan,仙女山,,重庆市,2033,29.45,107.75,仙女山,province_mismatch;source_elevation_mismatch
xiaowutai-shan,小五台山,,河北省,2882,39.9167,115,小五台山,coordinate_precision_below_4dp
xiaoxinganling-liangshui,小兴安岭凉水主峰,,黑龙江省,707.3,47.15,128.9,小兴安岭凉水主峰,no_exact_peak_candidate_found
xiata-gudao-route,夏塔古道沿线山峰,,新疆维吾尔自治区,3600,42.75,80.7,夏塔古道沿线山峰,route_corridor_has_no_single_summit
xiling-xueshan,西岭雪山,,四川省,5364,30.65,103.2,西岭雪山,no_exact_peak_candidate_found
xiqiao-shan,西樵山,,广东省,344.4,22.95,112.95,西樵山,source_elevation_missing
xixiabangma-feng,希夏邦马峰主峰,,西藏自治区,8012,28.35,85.75,希夏邦马峰主峰,coordinate_precision_below_4dp;source_elevation_missing
xuebao-ding,雪宝顶主峰,,四川省,5588,32.7,103.8,雪宝顶主峰,no_exact_peak_candidate_found
xuedou-shan,雪窦山,,浙江省,800,29.7,121.25,雪窦山,source_elevation_missing
xuefeng-shan,雪峰山,,湖南省,1934.3,27.45,110.5,雪峰山,province_mismatch;source_elevation_mismatch
yading-xiannairi,仙乃日,,四川省,,,,仙乃日,ledger_altitude_missing_for_check
yading-xianuoduoji,夏诺多吉,,四川省,,,,夏诺多吉,ledger_altitude_missing_for_check
yading-yangmaiyong,央迈勇,,四川省,,,,央迈勇,ledger_altitude_missing_for_check
yalongwan-canghai-lou,亚龙湾热带天堂森林公园主峰,,海南省,450,18.2,109.75,亚龙湾热带天堂森林公园主峰,no_exact_peak_candidate_found
yangcao-shan,羊草山,,黑龙江省,1235,44.35,128.3,羊草山,source_elevation_missing
yi-shan,峄山,,山东省,582.8,35.3,117,峄山,source_elevation_missing
yiwulu-shan,医巫闾山,,辽宁省,866.6,41.6,121.75,医巫闾山,source_elevation_missing
yubeng-route,雨崩徒步线,,云南省,4000,28.4,98.7,雨崩徒步线,route_corridor_has_no_single_summit
yulong-xueshan,玉龙雪山,,云南省,5590.2,,,扇子陡;玉龙雪山扇子陡;玉龙雪山,source_elevation_missing
yunding-shan-fujian,云顶山,,福建省,1175.2,24.75,118.15,云顶山,no_exact_peak_candidate_found
yunding-shan-shanxi,云顶山,,山西省,2708,37.9,111.7,云顶山,no_exact_peak_candidate_found
yunlong-shan,云龙山,,江苏省,142,34.25,117.15,云龙山,no_exact_peak_candidate_found
yunmeng-shan,云蒙山,,北京市,1414,40.5789,116.7128,云蒙山,source_elevation_missing
yuntai-shan-guizhou,云台山,,贵州省,1066,27.05,108.1,云台山,no_exact_peak_candidate_found
yuntai-shan-henan,云台山（河南）,云台山茱萸峰,河南省,1308,35.4,113.4,云台山（河南）茱萸峰;茱萸峰;云台山（河南）;云台山茱萸峰,no_exact_peak_candidate_found
yuzhu-feng,玉珠峰,玉珠峰北坡;玉珠峰南坡,青海省,6178,35.7,94.2,玉珠峰;玉珠峰北坡;玉珠峰南坡,no_exact_peak_candidate_found
yuzhu-yuxu-feng,玉虚峰,,青海省,5933,35.8,93.8,玉虚峰,no_exact_peak_candidate_found
zhangjiajie-qixing-shan,张家界七星山,,湖南省,1528.6,29,110.5,张家界七星山,no_exact_peak_candidate_found
zhangjiajie-tianmen-shan,张家界天门山,,湖南省,1518.6,29.05,110.45,张家界天门山,no_exact_peak_candidate_found
zhangshi-yan,嶂石岩,,河北省,1774,37.5833,114.1,嶂石岩,no_exact_peak_candidate_found
zhangzi-feng,章子峰,,西藏自治区,7543,28.05,86.95,章子峰,no_exact_peak_candidate_found
zhaogong-shan,赵公山,,四川省,2434,31,103.5,赵公山,no_exact_peak_candidate_found
zhongnan-shan,终南山,,陕西省,2604,33.9,108.9,终南山,source_elevation_missing
zhumulangma-beipo,珠穆朗玛峰北坡,,西藏自治区,8848.86,27.9881,86.925,珠穆朗玛峰北坡,no_exact_peak_candidate_found
zhuoaoyou-feng,卓奥友峰,,西藏自治区,8201,28.1,86.65,卓奥友峰,province_mismatch;source_elevation_missing
zhuoer-shan,卓尔山,,青海省,3100,38.15,100.25,卓尔山,no_exact_peak_candidate_found
zijin-shan-jiangsu,紫金山,,江苏省,448.9,32.0667,118.85,紫金山,no_exact_peak_candidate_found
zu-shan,祖山,,河北省,1428,40.1,119.5,祖山,no_exact_peak_candidate_found
