"effective_canonical_key","山名","别名","省份","海拔_m","现有粗坐标_lat","现有粗坐标_lng","未解决原因"
"qiyue-shan","齐岳山","齐岳山","湖北省","1911.5","30.45","108.7","no_external_candidate_found"
"qizi-feng","启孜峰","启孜峰","西藏自治区","6206","30.3","90.5","original_displacement_over_150km|unrelated_province_same_name_risk"
"sanao-aotaiji","三奥雪山奥太基","三奥雪山奥太基","四川省","5286","32","103","no_external_candidate_found"
"sanao-aotaimei","三奥雪山奥太美","三奥雪山奥太美","四川省","5257","32","103","no_external_candidate_found"
"sanao-aotaina","三奥雪山奥太娜","三奥雪山奥太娜","四川省","5210","32","103","no_external_candidate_found"
"sejila-shan","色季拉山","色季拉山","西藏自治区","4728","29.55","94.4","no_external_candidate_found"
"shao-shan","韶山","韶山","湖南省","518.9","27.9","112.5","original_displacement_over_150km|unrelated_province_same_name_risk"
"shennongjia-laojun-shan","神农架老君山","神农架老君山","湖北省","2936","31.55","110.5","no_external_candidate_found"
"shennongshan","神农山","神农山紫金顶|神农山|紫金顶","河南省","1028","35.25","112.9","no_external_candidate_found"
"shenxian-ju","神仙居","神仙居","浙江省","1271","28.7","120.55","no_external_candidate_found"
"shigao-shan","石膏山","石膏山","山西省","2532","36.7","112.15","no_external_candidate_found"
"shishapangma-lenggang-feng","冷岗峰","冷岗峰","西藏自治区","6225","28.5","85.7","no_external_candidate_found"
"shiwan-dashan","十万大山","十万大山","广西壮族自治区","1462","21.85","107.9","no_external_candidate_found"
"siguniang-dafeng","四姑娘山大峰","四姑娘山大峰|大峰","四川省","5025","31.1","102.9","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"siguniang-erfeng","四姑娘山二峰","四姑娘山二峰|二峰","四川省","5276","31.1","102.9","original_displacement_over_150km|unrelated_province_same_name_risk"
"siguniang-sanfeng","四姑娘山三峰","四姑娘山三峰|三峰","四川省","5355","31.1","102.9","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"simian-shan","四面山","四面山","重庆市","1709.4","28.6","106.4","original_displacement_over_150km|source_elevation_mismatch"
"sumu-shan","苏木山","苏木山","内蒙古自治区","2334.7","40.75","113.9","no_external_candidate_found"
"tanglaangqu-feng","唐拉昂曲峰","唐拉昂曲峰","西藏自治区","6330","30.2","90.6","no_external_candidate_found"
"tianhua-shan","天华山","天华山","辽宁省","1100","40.8","124.7","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"tianmushan-qijian-route","天目山七尖穿越线","天目山七尖穿越线","浙江省","1500","30.35","119.45","no_external_candidate_found"
"tiantaishan-huading-shan","天台山华顶山","天台山华顶山","浙江省","1098","29.25","121.05","no_external_candidate_found"
"tiantang-zhai","天堂寨","天堂寨","安徽省|湖北省","1729.13","31.2","115.75","coordinate_precision_below_3dp"
"tuo-liang","驼梁","驼梁","河北省","2281","38.7333","113.8333","no_external_candidate_found"
"wanfo-shan-anhui","万佛山","万佛山","安徽省","1539","31","116.6","no_external_candidate_found"
"wangmangling-xiyaigou-route","太行山王莽岭-锡崖沟环线","太行山王莽岭-锡崖沟环线","山西省","1700","35.65","113.6333","no_external_candidate_found"
"wangxiang-yan","太行大峡谷王相岩","太行大峡谷王相岩","河南省","1600","36.05","113.7","no_external_candidate_found"
"wanxian-shan","万仙山主峰","万仙山主峰","河南省","1672","35.7","113.6","no_external_candidate_found"
"weizhou-volcanic-landform-route","涠洲岛火山地貌游览线","涠洲岛火山地貌游览线","广西壮族自治区","0","21.05","109.1","no_external_candidate_found"
"wugongshan-guangdong","武功山广东段","武功山广东段","广东省","1500","24.9","113.95","no_external_candidate_found"
"wuliang-shan","无量山","无量山","云南省","3376","24.7","100.6","no_external_candidate_found"
"wuling-shan-chongqing","武陵山","武陵山","重庆市","1980","29.65","107.5","original_displacement_over_150km|source_elevation_mismatch"
"wumeng-shan","乌蒙山","乌蒙山","贵州省","2857","27","104.5","coordinate_precision_below_3dp"
"wuyue-zhai","五岳寨","五岳寨","河北省","1945.6","38.7833","113.8667","no_external_candidate_found"
"xiang-shan","香山","香山","北京市","557","39.9939","116.2056","original_displacement_over_150km|unrelated_province_same_name_risk|source_elevation_mismatch"
"xiangtang-shan","响堂山","响堂山","河北省","891","36.45","114.25","no_external_candidate_found"
"xiannv-shan","仙女山","仙女山","重庆市","2033","29.45","107.75","original_displacement_over_150km|source_elevation_mismatch"
"xiaoxinganling-liangshui","小兴安岭凉水主峰","小兴安岭凉水主峰","黑龙江省","707.3","47.15","128.9","no_external_candidate_found"
"xiata-gudao-route","夏塔古道沿线山峰","夏塔古道沿线山峰","新疆维吾尔自治区","3600","42.75","80.7","no_external_candidate_found"
"xiling-xueshan","西岭雪山","西岭雪山","四川省","5364","30.65","103.2","no_external_candidate_found"
"xuebao-ding","雪宝顶主峰","雪宝顶主峰","四川省","5588","32.7","103.8","no_external_candidate_found"
"yading-xiannairi","仙乃日","仙乃日","四川省","0","28.39","100.33","source_elevation_mismatch"
"yading-xianuoduoji","夏诺多吉","夏诺多吉","四川省","0","28.43","100.36","source_elevation_mismatch"
"yalongwan-canghai-lou","亚龙湾热带天堂森林公园主峰","亚龙湾热带天堂森林公园主峰","海南省","450","18.2","109.75","no_external_candidate_found"
"yubeng-route","雨崩徒步线","雨崩徒步线","云南省","4000","28.4","98.7","no_external_candidate_found"
"yunding-shan-shanxi","云顶山","云顶山","山西省","2708","37.9","111.7","original_displacement_over_150km|unrelated_province_same_name_risk"
"yunlong-shan","云龙山","云龙山","江苏省","142","34.25","117.15","no_external_candidate_found"
"yuntai-shan-henan","云台山（河南）","云台山茱萸峰|云台山（河南）|云台山（河南）茱萸峰|茱萸峰","河南省","1308","35.4","113.4","no_external_candidate_found"
"zhangjiajie-qixing-shan","张家界七星山","张家界七星山","湖南省","1528.6","29","110.5","no_external_candidate_found"
"zhangjiajie-tianmen-shan","张家界天门山","张家界天门山","湖南省","1518.6","29.05","110.45","no_external_candidate_found"
"zhangshi-yan","嶂石岩","嶂石岩","河北省","1774","37.5833","114.1","no_external_candidate_found"
"zhangzi-feng","章子峰","章子峰","西藏自治区","7543","28.05","86.95","no_external_candidate_found"
"zhumulangma-beipo","珠穆朗玛峰北坡","珠穆朗玛峰北坡","西藏自治区","8848.86","27.9881","86.925","no_external_candidate_found"
"zu-shan","祖山","祖山","河北省","1428","40.1","119.5","no_external_candidate_found"
